GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableCategoryMapper,26,213,4,6,7,48,5,11,1,10
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductOptionMapper,64,102,12,8,14,26,10,4,1,3
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductAttributeMapper,236,3,32,0,45,1,18,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductOptionValueMapper,183,3,28,0,46,1,17,1,3,1
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductVariationMapper,65,3,4,0,15,1,4,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductOptionValueMapper,146,3,20,0,33,1,13,1,3,1
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableCatalogMapper,32,3,0,0,8,1,2,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductOptionMapper,33,95,7,7,8,22,6,5,0,4
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductTypeMapper,150,3,12,0,34,1,12,1,6,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductImageMapper,95,3,12,0,18,1,8,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductTypeMapper,150,3,14,0,28,1,14,1,7,1
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableCatalogCategoryEntryMapper,108,3,6,0,24,1,5,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductAttributeMapper,109,3,12,0,25,1,8,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductVariationMapper,140,3,4,0,28,1,10,1,8,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableManufacturerMapper,9,121,6,6,4,29,7,6,1,6
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableCatalogCategoryEntryMapper,52,3,0,0,12,1,2,1,2,1
sm-shop,com.salesmanager.shop.mapper.catalog,PersistableProductOptionSetMapper,98,3,4,0,20,1,6,1,4,1
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableMinimalProductMapper,110,192,20,10,26,45,16,3,1,3
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableProductOptionSetMapper,218,3,10,0,40,1,16,1,11,1
sm-shop,com.salesmanager.shop.store.controller.marketplace.facade,MarketPlaceFacadeImpl,67,3,0,0,15,1,6,1,6,1
sm-shop,com.salesmanager.shop.store.facade.items,ProductItemsFacadeImpl,484,3,24,0,108,1,22,1,10,1
sm-shop,com.salesmanager.shop.store.facade.order,OrderFacadeImpl,182,7,6,0,36,2,9,2,6,2
sm-shop,com.salesmanager.shop.populator.store,ReadableMerchantStorePopulator,104,227,20,14,24,54,17,3,1,2
sm-shop,com.salesmanager.shop.populator.store,PersistableMerchantStorePopulator,129,166,17,15,37,45,23,4,8,3
sm-shop,com.salesmanager.shop.populator.store,ReadableMerchantStorePopulatorWithDetails,23,0,0,0,6,0,3,0,3,0
sm-shop,com.salesmanager.shop.store.security.common,CustomAuthenticationManager,41,44,5,3,15,14,6,4,2,4
sm-shop,com.salesmanager.shop.store.security.common,CustomAuthenticationException,4,0,0,0,2,0,1,0,1,0
sm-shop,com.salesmanager.shop.filter,XssFilter,4,23,0,0,2,7,1,4,1,4
sm-shop,com.salesmanager.shop.filter,CorsFilter,4,26,1,1,1,9,1,2,0,2
sm-shop,com.salesmanager.shop.filter,XssFilter.new XssHttpServletRequestWrapper() {...},0,7,0,0,0,1,0,1,0,1
sm-shop,com.salesmanager.shop.filter,XssHttpServletRequestWrapper,0,62,0,8,0,19,0,9,0,5
sm-shop,com.salesmanager.shop.store.model.catalog,Attribute,53,0,0,0,21,0,11,0,11,0
sm-shop,com.salesmanager.shop.store.model.catalog,AttributeValue,51,0,0,0,21,0,13,0,13,0
sm-shop,com.salesmanager.shop.mapper.order,ReadableOrderProductMapper,187,3,8,0,46,1,6,1,2,1
sm-shop,com.salesmanager.shop.mapper.order,ReadableOrderTotalMapper,101,3,4,0,22,1,4,1,2,1
sm-shop,com.salesmanager.shop.store.controller.search.facade,SearchFacadeImpl,216,7,2,0,53,2,10,2,9,2
sm-shop,com.salesmanager.shop.store.facade.user,UserFacadeImpl,1235,424,115,23,280,88,90,22,22,21
sm-shop,com.salesmanager.shop.store.controller.order.facade,OrderFacadeImpl,3400,7,262,0,794,2,172,2,41,2
sm-shop,com.salesmanager.shop.store.controller.order.facade,OrderFacadeImpl.new Comparator() {...},22,0,4,0,4,0,4,0,2,0
sm-shop,com.salesmanager.shop.store.api.v1.store,MerchantStoreApi,337,129,15,3,64,34,21,9,12,9
sm-shop,com.salesmanager.shop.store.facade.payment,PaymentConfigurationFacadeImpl,101,3,2,0,27,1,9,1,8,1
